text,intent,entities
Show playback from 10:00 to 11:00 last week,playback,start_time=10:00;end_time=11:00;date=last week
நேற்று முன் நாள் 10 மணி முதல் 11 மணி வரை பதிவு காண்பி,playback,start_time=10 மணி;end_time=10 மணி முதல் 11 மணி;date=நேற்று முன் நாள்
Show playback from 11:00 to 13:00 last week,playback,start_time=11:00;end_time=13:00;date=last week
நேற்று 11 மணி முதல் 13 மணி வரை பதிவு காண்பி,playback,start_time=11 மணி;end_time=11 மணி முதல் 13 மணி;date=நேற்று
Show playback from 15:00 to 16:00 day before yesterday,playback,start_time=15:00;end_time=16:00;date=day before yesterday
கடந்த வாரம் 15 மணி முதல் 16 மணி வரை பதிவு காண்பி,playback,start_time=15 மணி;end_time=15 மணி முதல் 16 மணி;date=கடந்த வாரம்
Show playback from 4:00 to 5:00 yesterday,playback,start_time=4:00;end_time=5:00;date=yesterday
நேற்று 4 மணி முதல் 5 மணி வரை பதிவு காண்பி,playback,start_time=4 மணி;end_time=4 மணி முதல் 5 மணி;date=நேற்று
Show playback from 19:00 to 20:00 last month,playback,start_time=19:00;end_time=20:00;date=last month
நேற்று 19 மணி முதல் 20 மணி வரை பதிவு காண்பி,playback,start_time=19 மணி;end_time=19 மணி முதல் 20 மணி;date=நேற்று
Show playback from 6:00 to 8:00 day before yesterday,playback,start_time=6:00;end_time=8:00;date=day before yesterday
கடந்த வாரம் 6 மணி முதல் 8 மணி வரை பதிவு காண்பி,playback,start_time=6 மணி;end_time=6 மணி முதல் 8 மணி;date=கடந்த வாரம்
Show playback from 15:00 to 18:00 day before yesterday,playback,start_time=15:00;end_time=18:00;date=day before yesterday
நேற்று முன் நாள் 15 மணி முதல் 18 மணி வரை பதிவு காண்பி,playback,start_time=15 மணி;end_time=15 மணி முதல் 18 மணி;date=நேற்று முன் நாள்
Show playback from 10:00 to 12:00 today,playback,start_time=10:00;end_time=12:00;date=today
இன்று 10 மணி முதல் 12 மணி வரை பதிவு காண்பி,playback,start_time=10 மணி;end_time=10 மணி முதல் 12 மணி;date=இன்று
Show playback from 13:00 to 16:00 last month,playback,start_time=13:00;end_time=16:00;date=last month
நேற்று முன் நாள் 13 மணி முதல் 16 மணி வரை பதிவு காண்பி,playback,start_time=13 மணி;end_time=13 மணி முதல் 16 மணி;date=நேற்று முன் நாள்
Show playback from 21:00 to 0:00 day before yesterday,playback,start_time=21:00;end_time=0:00;date=day before yesterday
கடந்த மாதம் 21 மணி முதல் 0 மணி வரை பதிவு காண்பி,playback,start_time=21 மணி;end_time=21 மணி முதல் 0 மணி;date=கடந்த மாதம்
Show playback from 16:00 to 18:00 last week,playback,start_time=16:00;end_time=18:00;date=last week
கடந்த வாரம் 16 மணி முதல் 18 மணி வரை பதிவு காண்பி,playback,start_time=16 மணி;end_time=16 மணி முதல் 18 மணி;date=கடந்த வாரம்
Show playback from 0:00 to 3:00 last month,playback,start_time=0:00;end_time=3:00;date=last month
நேற்று 0 மணி முதல் 3 மணி வரை பதிவு காண்பி,playback,start_time=0 மணி;end_time=0 மணி முதல் 3 மணி;date=நேற்று
Show playback from 6:00 to 7:00 last month,playback,start_time=6:00;end_time=7:00;date=last month
கடந்த மாதம் 6 மணி முதல் 7 மணி வரை பதிவு காண்பி,playback,start_time=6 மணி;end_time=6 மணி முதல் 7 மணி;date=கடந்த மாதம்
Show playback from 22:00 to 23:00 today,playback,start_time=22:00;end_time=23:00;date=today
நேற்று முன் நாள் 22 மணி முதல் 23 மணி வரை பதிவு காண்பி,playback,start_time=22 மணி;end_time=22 மணி முதல் 23 மணி;date=நேற்று முன் நாள்
Show playback from 0:00 to 3:00 last month,playback,start_time=0:00;end_time=3:00;date=last month
நேற்று முன் நாள் 0 மணி முதல் 3 மணி வரை பதிவு காண்பி,playback,start_time=0 மணி;end_time=0 மணி முதல் 3 மணி;date=நேற்று முன் நாள்
Show playback from 13:00 to 16:00 day before yesterday,playback,start_time=13:00;end_time=16:00;date=day before yesterday
நேற்று 13 மணி முதல் 16 மணி வரை பதிவு காண்பி,playback,start_time=13 மணி;end_time=13 மணி முதல் 16 மணி;date=நேற்று
Show playback from 8:00 to 10:00 last week,playback,start_time=8:00;end_time=10:00;date=last week
நேற்று 8 மணி முதல் 10 மணி வரை பதிவு காண்பி,playback,start_time=8 மணி;end_time=8 மணி முதல் 10 மணி;date=நேற்று
Show playback from 6:00 to 9:00 last month,playback,start_time=6:00;end_time=9:00;date=last month
