text,intent,entities

Yesterday morning at 10 o'clock with playback,playback,start_time=10:00;date=2025-09-25;pred_score=0.8957
Show playback from 10:00 to 11:00 last week,playback,start_time=10:00;end_time=11:00;date=last week
நேற்று முன் நாள் 10 மணி முதல் 11 மணி வரை பதிவு காண்பி,playback,start_time=10 மணி;end_time=10 மணி முதல் 11 மணி;date=நேற்று முன் நாள்
Show playback from 11:00 to 13:00 last week,playback,start_time=11:00;end_time=13:00;date=last week
நேற்று 11 மணி முதல் 13 மணி வரை பதிவு காண்பி,playback,start_time=11 மணி;end_time=11 மணி முதல் 13 மணி;date=நேற்று
Show playback from 15:00 to 16:00 day before yesterday,playback,start_time=15:00;end_time=16:00;date=day before yesterday
கடந்த வாரம் 15 மணி முதல் 16 மணி வரை பதிவு காண்பி,playback,start_time=15 மணி;end_time=15 மணி முதல் 16 மணி;date=கடந்த வாரம்
Show playback from 4:00 to 5:00 yesterday,playback,start_time=4:00;end_time=5:00;date=yesterday
நேற்று 4 மணி முதல் 5 மணி வரை பதிவு காண்பி,playback,start_time=4 மணி;end_time=4 மணி முதல் 5 மணி;date=நேற்று
Show playback from 19:00 to 20:00 last month,playback,start_time=19:00;end_time=20:00;date=last month
நேற்று 19 மணி முதல் 20 மணி வரை பதிவு காண்பி,playback,start_time=19 மணி;end_time=19 மணி முதல் 20 மணி;date=நேற்று
Show playback from 6:00 to 8:00 day before yesterday,playback,start_time=6:00;end_time=8:00;date=day before yesterday
கடந்த வாரம் 6 மணி முதல் 8 மணி வரை பதிவு காண்பி,playback,start_time=6 மணி;end_time=6 மணி முதல் 8 மணி;date=கடந்த வாரம்
Show playback from 15:00 to 18:00 day before yesterday,playback,start_time=15:00;end_time=18:00;date=day before yesterday
நேற்று முன் நாள் 15 மணி முதல் 18 மணி வரை பதிவு காண்பி,playback,start_time=15 மணி;end_time=15 மணி முதல் 18 மணி;date=நேற்று முன் நாள்
Show playback from 10:00 to 12:00 today,playback,start_time=10:00;end_time=12:00;date=today
இன்று 10 மணி முதல் 12 மணி வரை பதிவு காண்பி,playback,start_time=10 மணி;end_time=10 மணி முதல் 12 மணி;date=இன்று
Show playback from 13:00 to 16:00 last month,playback,start_time=13:00;end_time=16:00;date=last month
நேற்று முன் நாள் 13 மணி முதல் 16 மணி வரை பதிவு காண்பி,playback,start_time=13 மணி;end_time=13 மணி முதல் 16 மணி;date=நேற்று முன் நாள்
Show playback from 21:00 to 0:00 day before yesterday,playback,start_time=21:00;end_time=0:00;date=day before yesterday
